,id,context,question,answer
83,83,Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it.,What will Alex want to do next?,C
84,84,Cameron got a new video game and wanted to spend the night playing it.,How would Cameron feel afterwards?,A
85,85,Alex grew closer to their significant other after they vacationed together.,How would Alex feel afterwards?,B
86,86,Aubrey got gas at the station and got some snacks for the drive.,Why did Aubrey do this?,C
87,87,Riley regarded Jesse with observant eyes then smiled after they ate the last cookie.,How would you describe Riley?,C
88,88,Aubrey fed Tracy's kids spaghetti after the baseball practice.,How would Tracy feel as a result?,C
89,89,Quinn cried their eyes out and ate a whole carton of icecream over her breakup.,What will Quinn want to do next?,C
90,90,remy had a good talk with aubrey so aubrey understood remy better now.,How would Remy feel as a result?,B
91,91,Alex took care of the children after school so that their parents could continue to work.,What will Alex want to do next?,B
92,92,Taylor taught math in the schools where underprivileged children studied.,How would Taylor feel afterwards?,C
93,93,"Jan fastened the anniversary necklace around Sydney's neck, amid her tears of joy and exclamations of how beautiful it was.",What will Sydney want to do next?,B
94,94,Kendall didn't get the job despite the interviewer telling her she was qualified.,How would the interviewer feel as a result?,C
95,95,Riley talked to their friends about what they should do that night.,Why did Riley do this?,C
96,96,Remy went into town and found a fun place to get treats and ate some ice cream.,What does Remy need to do before this?,C
97,97,Carson was at a friend's house playing video games to get away from his arguing parents.,What does Carson need to do before this?,B
98,98,Taylor taught math in the schools and got a lot of praise for his style of teaching.,Why did Taylor do this?,B
99,99,Robin pulled Carson over for speeding and then didnt write him a ticket.,Why did Robin do this?,B
